unidad,var_x,var_y,pearson_r,pearson_p,spearman_rho,spearman_p,n,spearman_p_fdr,sig_tras_fdr
Localidad,deficit_aseo_percapita,cestas_por_1000hab,-0.997,0.0,-0.988,0.0,20,0.0,True
Localidad,deficit_aseo_percapita,puntos_criticos_por_100milhab,-0.373,0.10548,-0.195,0.40882,20,0.53147,False
Localidad,deficit_aseo_percapita,homicidios_por_100milhab,-0.027,0.91084,0.292,0.21203,20,0.31121,False
Localidad,deficit_aseo_percapita,densidad_poblacional_hab_km2,0.198,0.40243,0.081,0.73361,20,0.80432,False
Localidad,cestas_por_1000hab,puntos_criticos_por_100milhab,0.372,0.10633,0.147,0.53525,20,0.64089,False
Localidad,cestas_por_1000hab,homicidios_por_100milhab,0.042,0.86053,-0.275,0.24028,20,0.33639,False
Localidad,cestas_por_1000hab,densidad_poblacional_hab_km2,-0.214,0.36445,-0.129,0.58685,20,0.68466,False
Localidad,puntos_criticos_por_100milhab,homicidios_por_100milhab,0.455,0.04403,0.28,0.23235,20,0.33562,False
Localidad,puntos_criticos_por_100milhab,densidad_poblacional_hab_km2,0.167,0.4815,0.334,0.1503,20,0.23182,False
Localidad,homicidios_por_100milhab,densidad_poblacional_hab_km2,-0.299,0.20016,-0.183,0.43879,20,0.55458,False
