year,upz_id,upz_nombre,localidad_id,localidad_nombre,pct_stratum_1_2,cestas,cestas_per_km2,containers,containers_per_km2,sweeping_route_coverage,critical_points,critical_points_per_km2,emergencies,emergencies_per_km2
2019,44,Americas,08,KENNEDY,26.822916666666668,819,215.15,116,30.47,14.4,4,1.05,308.0,80.91
2019,41,Muzu,16,PUENTE ARANDA,0.0,951,376.45,137,54.23,44.2,2,0.79,166.0,65.71
2019,40,Ciudad Montes,16,PUENTE ARANDA,0.0,1417,318.27,42,9.43,37.4,1,0.22,322.0,72.32
2019,34,20 De Julio,04,SAN CRISTOBAL,76.90677966101694,565,215.38,192,73.19,79.8,3,1.14,451.0,171.92
2019,84,Bosa Occidental,07,BOSA,100.0,440,102.32,35,8.14,49.4,13,3.02,700.0,162.78
2019,32,San Blas,04,SAN CRISTOBAL,100.0,95,23.77,5,1.25,56.6,4,1.0,493.0,123.34
2019,95,Las Cruces,03,SANTA FE,100.0,44,47.67,2,2.17,70.5,8,8.67,144.0,156.01
2019,87,Tintal Sur,07,BOSA,100.0,184,31.92,55,9.54,10.9,6,1.04,228.0,39.55
2019,117,Aeropuerto El Dorado,09,FONTIBON,0.0,114,15.35,0,0.0,1.9,0,0.0,55.0,7.41
2019,77,Zona Franca,09,FONTIBON,95.08196721311475,389,79.19,58,11.81,3.9,4,0.81,189.0,38.48
2019,54,Marruecos,18,RAFAEL URIBE URIBE,98.25396825396825,375,103.42,197,54.33,36.1,4,1.1,275.0,75.84
2019,39,Quiroga,18,RAFAEL URIBE URIBE,0.0,785,206.97,207,54.58,41.1,11,2.9,465.0,122.6
2019,62,Tunjuelito,06,TUNJUELITO,94.9074074074074,24,7.34,60,18.35,19.6,5,1.53,247.0,75.54
2019,53,Marco Fidel Suarez,18,RAFAEL URIBE URIBE,75.42168674698794,64,34.71,25,13.56,43.7,4,2.17,172.0,93.28
2019,69,Ismael Perdomo,19,CIUDAD BOLIVAR,98.9100817438692,932,166.59,266,47.55,39.4,2,0.36,494.0,88.3
2019,1,Paseo De Los Libertadores,01,USAQUEN,61.111111111111114,107,16.97,0,0.0,7.2,0,0.0,104.0,16.5
2019,46,Castilla,08,KENNEDY,41.58215010141988,1596,317.42,259,51.51,16.8,5,0.99,515.0,102.43
2019,112,Granjas De Techo,09,FONTIBON,26.153846153846157,938,196.56,74,15.51,16.4,3,0.63,441.0,92.41
2019,25,La Floresta,11,SUBA,0.0,1177,299.37,68,17.3,63.1,0,0.0,229.0,58.25
2019,97,Chico Lago,02,CHAPINERO,0.0,2454,581.37,116,27.48,65.3,2,0.47,703.0,166.54
2019,98,Los Alcazares,12,BARRIOS UNIDOS,0.0,1364,329.71,36,8.7,100.0,6,1.45,364.0,87.99
2019,96,Lourdes,03,SANTA FE,100.0,59,29.5,0,0.0,72.5,2,1.0,264.0,132.01
2019,92,La Macarena,03,SANTA FE,62.37623762376238,71,82.72,2,2.33,50.6,0,0.0,206.0,240.01
2019,94,La Candelaria,17,CANDELARIA,62.5,309,150.1,37,17.97,60.4,1,0.49,686.0,333.24
2019,78,Tintal Norte,08,KENNEDY,87.5,188,54.79,48,13.99,6.5,0,0.0,122.0,35.56
2019,9,Verbenal,01,USAQUEN,58.294930875576036,593,166.81,87,24.47,60.1,3,0.84,313.0,88.05
2019,113,Bavaria,08,KENNEDY,0.0,458,165.34,127,45.85,10.8,0,0.0,152.0,54.87
2019,81,Gran Britalia,08,KENNEDY,99.7134670487106,431,239.76,76,42.28,17.3,6,3.34,120.0,66.76
2020,75,Fontibon,09,FONTIBON,4.753820033955857,416,83.86,333,67.13,15.7,11,2.22,452.0,91.12
2020,22,Doce De Octubre,12,BARRIOS UNIDOS,0.0,961,286.02,130,38.69,100.0,9,2.68,165.0,49.11
2020,114,Modelia,09,FONTIBON,0.0,908,347.4,31,11.86,25.6,5,1.91,129.0,49.36
2020,103,Parque Salitre,12,BARRIOS UNIDOS,0.0,200,121.13,15,9.08,100.0,0,0.0,39.0,23.62
2020,105,Jardin Botanico,10,ENGATIVA,25.0,420,259.93,15,9.28,100.0,0,0.0,9.0,5.57
2020,88,El Refugio,02,CHAPINERO,0.0,1052,313.37,0,0.0,47.7,0,0.0,160.0,47.66
2020,27,Suba,11,SUBA,55.13513513513514,938,143.78,60,9.2,72.9,5,0.77,343.0,52.58
2020,99,Chapinero,02,CHAPINERO,0.0,988,620.72,0,0.0,63.0,3,1.88,383.0,240.62
